Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Solar Radiation (GHI),Temp
2011,1,1,0,8,13.5226587468,986.7618408203,72.2958584384,37.2883872986,3.0110416412,0,
2011,1,1,1,8,12.8358140713,986.44140625,75.3761863906,37.6867179871,3.0912427902,0,
2011,1,1,2,8,12.198057723,985.7365112305,78.4051977932,35.0539054871,3.0076494217,0,
2011,1,1,3,8,11.583500451,985.5256958008,81.0429804965,30.1352157593,2.926715374,0,
2011,1,1,4,8,11.029578064,985.6619262695,82.548508167,24.4029693604,2.9151771069,0,
2011,1,1,5,1,8.0986552141,985.7232055664,65.2784940842,89.2900619507,1.9378993511,0,
2011,1,1,6,2,7.806704578,986.2491455078,67.0931809114,95.8359832764,1.8151745796,0,
2011,1,1,7,2,9.0364084482,987.0389404297,64.0354830712,105.1981811523,1.6153101921,0,
2011,1,1,8,3,12.1582804915,987.8973999023,55.1056563096,113.3176651001,1.4390883446,159,
2011,1,1,9,3,14.9653005843,988.2119140625,47.1669383553,117.3276062012,1.0633740425,363,
2011,1,1,10,3,18.956081878,988.0545043945,36.7470866534,72.4883270264,0.5456948876,533,
2011,1,1,11,2,21.3540465771,987.4638671875,29.1570150711,12.9769287109,0.9801166058,649,
2011,1,1,12,2,22.1612570486,986.3861694336,27.5930707472,4.7777786255,1.4119147062,698,
2011,1,1,13,2,22.2562157538,985.7365112305,27.2746951134,5.3553466797,1.7479094267,675,
2011,1,1,14,2,21.7258844604,985.5215454102,27.8192885165,6.8771820068,2.005286932,582,
2011,1,1,15,2,20.5072687098,985.2796630859,30.0232843382,10.4489212036,2.2068793774,430,
2011,1,1,16,5,18.1901056195,985.6680908203,43.1877716151,16.1740722656,2.3044645786,232,
2011,1,1,17,5,15.6659564524,986.169921875,49.3467200218,23.4854202271,2.5168709755,25,
2011,1,1,18,4,14.7287796276,986.5366821289,50.8182186487,30.9061279297,2.6667060852,0,
2011,1,1,19,4,13.9152109613,987.17578125,52.122064069,38.1899909973,2.7096822262,0,
2011,1,1,20,3,13.1063947099,987.2456665039,53.7825490881,45.6144676208,2.7137458324,0,
2011,1,1,21,3,12.3262170405,986.9713745117,55.6134510978,53.9394493103,2.701125145,0,
2011,1,1,22,3,11.5709822373,986.0424194336,57.4583575371,62.4915275574,2.6397087574,0,
2011,1,1,23,3,10.8698490921,985.4398193359,59.4466144599,71.2503890991,2.5116455555,0,
2011,1,2,0,3,10.2313503415,984.8381958008,61.3454924895,79.954536438,2.3609120846,0,
2011,1,2,1,3,9.6534065085,984.4570922852,63.5663748566,87.4818725586,2.1939337254,0,
2011,1,2,2,3,9.1658226379,984.0322265625,66.5093756852,90.6348724365,1.9048460722,0,
2011,1,2,3,3,8.7738358104,984.1615600586,69.9230651542,90.9248428345,1.5978398323,0,
2011,1,2,4,3,8.3531879749,984.4385986328,71.7678868485,89.5702133179,1.3597279787,0,
2011,1,2,5,3,7.9714029945,985.138671875,73.846774663,87.7448348999,1.1940404177,0,
2011,1,2,6,3,7.6246484357,985.9792480469,74.1980556068,88.5913772583,1.0474625826,0,
2011,1,2,7,5,8.8054187564,986.8825073242,77.1756465554,91.9009170532,0.8946401477,0,
2011,1,2,8,2,11.8710077646,987.408203125,51.5051390671,104.388343811,0.9766710997,158,
2011,1,2,9,4,14.7098093445,988.0441894531,49.7728208182,113.1558380127,0.9601789117,358,
2011,1,2,10,4,18.7419450036,987.8814086914,38.852613871,91.4617767334,0.6767435074,537,
2011,1,2,11,3,21.2653972453,987.0031738281,31.4817471429,57.8825035095,0.7076398134,636,
2011,1,2,12,3,22.2114631032,985.8543701172,29.9907497847,51.598941803,0.85324049,684,
2011,1,2,13,3,22.4234913076,985.0849609375,29.347138107,49.7106781006,1.1067070961,662,
2011,1,2,14,3,21.9241643655,984.8643798828,30.081187535,44.8002433777,1.2737818956,588,
2011,1,2,15,3,20.6098325658,985.2159423828,32.9190078529,43.0934867859,1.4396121502,420,
2011,1,2,16,7,18.3604888074,985.3565673828,47.5916236264,43.4028053284,1.6504495144,236,
2011,1,2,17,5,15.7659902025,985.9964599609,52.2324285712,48.2448959351,1.9358361959,28,
2011,1,2,18,5,14.9145795273,986.7844238281,53.7551168874,55.7950210571,2.222224474,0,
2011,1,2,19,5,14.1522800352,987.5634155273,54.8992800333,64.4198989868,2.3995418549,0,
2011,1,2,20,4,13.4210634504,987.9493408203,55.8938131266,73.1172027588,2.6730511189,0,
2011,1,2,21,4,12.6875885648,987.7045288086,57.2504414098,81.4679412842,2.9407823086,0,
2011,1,2,22,4,11.9690857941,987.4130859375,58.99159435,89.3795471191,3.0996756554,0,
2011,1,2,23,4,11.2488675771,986.6987915039,61.1256857854,96.6873245239,3.1586453915,0,
2011,1,3,0,3,10.5452353638,986.2286987305,63.5741185459,103.7701339722,3.1571221352,0,
