Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
2014,1,1,0,30,0,0,0,-12,10.7074731458,988.6505126953,17.9883052711,67.8541641235,3.9843630791
2014,1,1,1,30,0,0,0,-11,10.142036763,988.4822387695,19.8533027668,73.509185791,3.8854327202
2014,1,1,2,30,0,0,0,-11,9.6226334419,988.2780151367,21.8197459095,77.1818847656,3.6306700706
2014,1,1,3,30,0,0,0,-10,9.172161314,988.0235595703,23.585477984,79.9943313599,3.2963070869
2014,1,1,4,30,0,0,0,-10,8.7866271897,988.3328857422,25.0475711788,82.1185379028,2.9839601517
2014,1,1,5,30,0,0,0,-16,5.4602657587,992.3162231445,18.2776082615,36.4807853699,2.6432743073
2014,1,1,6,30,0,0,0,-15,5.1349923425,993.0672607422,20.4639329297,35.9632301331,2.5310230255
2014,1,1,7,30,0,0,0,-14,6.0817140899,993.5419311523,21.7384621479,35.8159179688,2.4897036552
2014,1,1,8,30,85,239,131,-12,9.3633066945,994.5290527344,19.9686558891,33.2938270569,2.3575091362
2014,1,1,9,30,145,434,303,-10,12.4404969045,995.231628418,18.5029886193,25.5818939209,2.0451753139
2014,1,1,10,30,182,551,458,-7,16.249322291,995.2634887695,18.9007438203,18.6102371216,2.3016200066
2014,1,1,11,30,188,663,580,-4,18.9660515051,994.3259277344,20.6116583759,20.4857559204,3.1593739986
2014,1,1,12,30,185,705,628,-4,19.9474642059,993.6638183594,19.2726203545,17.5802154541,3.432033062
2014,1,1,13,30,175,717,613,-4,20.1833518709,992.9273071289,18.1561155405,17.6056747437,3.7386815548
2014,1,1,14,30,175,638,519,-5,19.7182122948,992.0299682617,17.7881320651,22.3591537476,4.0136995316
2014,1,1,15,30,170,468,365,-5,18.4805401509,991.6544189453,18.5830002968,27.8518218994,4.1564884186
2014,1,1,16,30,109,318,190,-6,16.2414289697,992.0158081055,20.9746281204,31.7777557373,3.8832778931
2014,1,1,17,30,9,0,9,-6,13.5306850202,992.3772583008,24.7729959168,34.9067420959,3.5902276039
