Year,Month,Day,Hour,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
2014,1,1,0,0,-19,10.7021909287,994.4105224609,9.8708315421,44.2461204529,5.406665802
2014,1,1,1,0,-19,10.0565256994,994.5622558594,10.2415791938,47.3141136169,5.3977599144
2014,1,1,2,0,-19,9.4310239003,994.3580322266,10.6725665608,46.5849723816,5.2823448181
2014,1,1,3,0,-19,8.8755432184,994.4235839844,11.1022534287,43.7180023193,5.1661729813
2014,1,1,4,0,-19,8.4104225239,994.4128417969,11.5027162436,41.3030586243,5.11140728
2014,1,1,5,0,-20,6.4621460999,999.0362548828,12.0210967764,48.1925506592,3.6569666862
2014,1,1,6,0,-21,5.9275661368,999.4672241211,12.1999747767,46.6017532349,3.8117301464
2014,1,1,7,0,-21,6.2589503649,1000.2619018555,11.7993003077,46.3162765503,3.9241359234
2014,1,1,8,114,-21,9.2139019037,1001.2490234375,9.719530221,46.00025177,3.7308530807
2014,1,1,9,313,-21,12.2349294333,1001.9515991211,7.987989401,44.5712852478,3.1981317997
2014,1,1,10,476,-20,16.1010889282,1001.9835205078,6.3942821995,42.3140716553,3.2931580544
2014,1,1,11,593,-21,19.3275936585,1001.0458984375,4.819247395,44.3711738586,4.2386422157
2014,1,1,12,648,-21,20.5546024364,1000.0637817383,4.4563044776,43.9483070374,4.4683380127
2014,1,1,13,646,-22,20.8843246597,999.0073242188,4.2711490375,43.7978782654,4.6124334335
2014,1,1,14,567,-21,20.3912370603,998.4299926758,4.4313244856,43.8851280212,4.6678757668
2014,1,1,15,422,-21,19.1483553678,998.3744506836,4.8249446956,44.6043357849,4.6734075546
2014,1,1,16,231,-21,16.9691625455,998.4158325195,5.8028426397,45.1562652588,4.4874563217
2014,1,1,17,35,-20,13.849455556,999.0972290039,7.6880058125,43.9984436035,4.3915977478
2014,1,1,18,0,-19,12.6215731176,1000.0587158203,8.7940576874,43.5012969971,4.4293985367
2014,1,1,19,0,-19,11.7775709604,1000.7531738281,9.7190514969,44.4968223572,4.3700151443
2014,1,1,20,0,-18,11.0344454446,1000.9041748047,10.6388256223,47.1903381348,4.188272953
2014,1,1,21,0,-18,10.3455637987,1001.0114746094,11.538219334,50.8700027466,3.9651353359
2014,1,1,22,0,-17,9.7113808886,1000.7335205078,12.4198638299,53.6947021484,3.7462890148
2014,1,1,23,0,-17,9.1174047206,1000.2028198242,13.2401108589,55.1860771179,3.5422160625
2014,1,2,0,0,-17,8.5653478135,999.3627929688,13.9959515562,55.230884552,3.3517680168
